,ID,Dates,city,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,at_soyu,Mevsim,KG,K,DB,SK,SKG,GKR,YP,TGK,ÖG,SGKR,Winner
145,RUSSIAN POWER(13) KG  DB  SK  ,2015-07-13,Şanlıurfa,D.ÇELİK,F.YARDIMCI,False,0,100.27,49.6,4960,10,1.0,14,6,35,9,9,7,8,25,7.0,10.0,14.0,14.0,9.0,9,0,0,0,0,0,0,0,0,14.5018,13.9623,14.9633,15.78,14.9465,10,35,3,akşam,3,d,e,de,yaz,1,0,1,1,0,0,0,0,0,0,0
146,KİRAZ OĞLU(8) KG  ,2015-07-07,Adana,H.KILIÇARSLAN,H.KILIÇARSLAN,True,1,134.58,24.1,2410,9,2.0,8,38,38,7,8,9,10,24,9.0,6.0,8.0,4.0,6.0,12,0,3,0,2,0,25,0,16,14.118,14.556,14.3492,14.0635,13.8231,9,38,4,akşam,4,a,a,aa,yaz,1,0,0,0,0,0,0,0,0,0,0
147,RED RUBY(6) SK    ,2015-10-07,Bursa,E.ÇAKIROĞLU,E.ÇAKIROĞLU,True,1,73.08,2.7,270,2,15.0,3,85,93,10,10,9,9,29,2.0,5.0,7.0,0.0,0.0,3,0,1,0,0,0,33,0,0,16.4204,0.0,0.0,0.0,0.0,2,93,4,öğle,2,d,d,dd,yaz,0,0,0,1,0,0,0,0,0,0,0
148,NAYLAKIZI(4),2015-11-07,Ankara,H.KILIÇARSLAN,H.KILIÇARSLAN,True,1,84.05,14.2,1420,8,2.0,8,27,29,7,8,9,10,24,8.0,13.0,7.0,1.0,7.0,5,1,0,0,0,20,0,0,0,14.2772,13.0378,12.5725,14.8258,14.7131,8,29,4,öğle,3,d,d,dd,yaz,0,0,0,0,0,0,0,0,0,0,0
149,UZUN TUĞBA(15) KG  DB  SK  ,2015-07-13,Bursa,Ç.OK,V.YÜCEL,False,0,87.34,19.0,1900,15,1.0,13,25,12,8,8,9,10,25,15.0,15.0,12.0,7.0,0.0,4,0,0,0,0,0,0,0,0,11.3733,13.7394,13.1565,14.5138,0.0,15,12,2,öğle,3,a,d,ad,yaz,1,0,1,1,0,0,0,0,0,0,0
150,SARIÇAM(14) SK  ,2015-07-13,Şanlıurfa,H.ŞANLI,H.ŞANLI,True,1,177.38,17.05,1705,13,0.0,0,100,14,6,5,6,8,17,13.0,5.0,13.0,9.0,8.0,20,0,1,1,5,0,5,5,25,11.839,12.6641,12.8631,14.2146,12.8519,13,14,2,akşam,4,k,a,ka,yaz,0,0,0,1,0,0,0,0,0,0,0
151,TUNCAKIZI(5) KG  DB  SK  ,2015-11-07,Ankara,Ö.KAYA,Ö.KAYA,True,1,80.25,4.0,400,4,17.0,3,72,70,12,12,11,11,35,4.0,1.0,2.0,3.0,4.0,8,1,2,1,3,12,25,12,37,14.9533,14.9477,14.8203,14.6951,14.6897,4,70,4,öğle,3,a,d,ad,yaz,1,0,1,1,0,0,0,0,0,0,0
152,OZİCAN(9) KG  K  ,2015-12-07,Adana,C.AVLİ,C.AVLİ,True,1,143.52,28.95,2895,9,1.0,10,33,42,6,6,8,10,20,15.0,9.0,15.0,12.0,7.0,24,5,2,3,3,20,8,12,12,0.0,13.2386,12.3251,12.9534,14.5822,9,42,2,akşam,6,a,a,aa,yaz,1,1,0,0,0,0,0,0,0,0,0
153,GÜLGÜZELİ(10) KG  K  DB  ,2015-07-07,Adana,H.BUDAK,H.BUDAK,True,1,73.36,7.6,760,9,2.0,9,30,38,6,7,8,10,21,9.0,8.0,5.0,4.0,3.0,14,1,0,1,1,7,0,7,7,16.3577,15.753,16.28,16.5647,16.6412,9,38,3,akşam,3,d,d,dd,yaz,1,1,1,0,0,0,0,0,0,0,0
154,ESENKAL(12) KG  K  ,2015-07-13,Şanlıurfa,C.TEPE,C.TEPE,True,1,172.22,15.5,1550,10,0.0,0,100,35,8,8,7,8,23,10.0,4.0,8.0,9.0,11.0,24,1,0,2,3,4,0,8,12,12.1937,12.6785,13.1406,12.6479,12.6115,10,35,2,akşam,4,d,a,da,yaz,1,1,0,0,0,0,0,0,0,0,0
155,AVILES(12) KG  ,2015-07-07,Ankara,G.YILDIZ,M.TARHAN,False,0,131.83,8.0,800,5,6.0,6,62,73,7,8,9,10,24,6.0,5.0,1.0,3.0,6.0,20,4,0,2,1,20,0,10,5,15.748,15.1711,14.8598,16.1167,16.1909,5,73,3,öğle,4,d,a,da,yaz,1,0,0,0,0,0,0,0,0,0,0
156,UMUDUN RENGİ(3),2015-11-07,Kocaeli,Y.BAYIR,Y.BAYIR,True,1,90.37,8.55,855,4,3.0,4,75,75,5,4,4,8,13,4.0,7.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,50,13.2787,14.812999999999999,0.0,0.0,0.0,4,75,3,akşam,2,a,d,ad,yaz,0,0,0,0,0,0,0,0,0,0,0
157,BELLA PAMPA(7) DB  SK  ,2015-07-07,Ankara,A.SÖZEN,B.KILINÇ,False,0,131.05,7.3,730,4,6.0,7,56,80,13,13,13,12,39,8.0,4.0,2.0,7.0,4.0,19,3,5,1,3,15,26,5,15,16.4389,15.2614,15.137,14.6402,16.2282,4,80,3,öğle,5,a,k,ak,yaz,0,0,1,1,0,0,0,0,0,0,0
158,FIGHTER(12) K  DB  ,2015-11-07,Kocaeli,A.OLUK,A.OLUK,True,1,88.26,3.85,385,6,13.0,3,83,58,9,9,9,9,27,6.0,2.0,1.0,6.0,2.0,7,2,2,0,0,28,28,0,0,15.8622,16.0403,16.4971,16.2316,16.4496,6,58,2,akşam,4,d,a,da,yaz,0,1,1,0,0,0,0,0,0,0,0
159,FİYAKANIN OĞLU(8) KG  K  DB  ,2015-07-13,Bursa,F.YÜKSEL,F.YÜKSEL,True,1,83.13,3.9,390,7,10.0,5,75,62,10,11,11,11,32,7.0,3.0,2.0,5.0,11.0,13,1,4,1,0,7,30,7,0,15.6382,15.3391,15.8311,15.5348,16.1831,7,62,1,öğle,3,d,e,de,yaz,1,1,1,0,0,0,0,0,0,0,0
160,İSMİNUR(8) KG  DB  SK  ,2015-06-08,Ankara,U.İRTİŞ,U.İRTİŞ,True,1,78.95,52.4,5240,13,1.0,13,7,7,2,2,4,3,8,13.0,11.0,11.0,9.0,7.0,25,3,3,0,5,12,12,0,20,15.1995,15.9599,15.0451,16.2075,16.1612,13,7,9,akşam,4,a,a,aa,yaz,1,0,1,1,0,0,0,0,0,0,0
161,INCITATUS(1) K  DB  SKG  ,2015-06-08,Ankara,İ.KATI,İ.KATI,True,1,73.88,16.4,1639,10,2.0,11,23,30,7,7,8,8,22,10.0,7.0,9.0,9.0,6.0,29,6,2,1,4,20,6,3,13,16.2426,16.2583,16.5358,16.7104,15.4044,10,30,9,akşam,5,d,a,da,yaz,0,1,1,0,1,0,0,0,0,0,0
162,AÇİNA(3) KG  SK  ,2015-06-08,Ankara,M.BAYDAN,M.BAYDAN,True,1,72.87,2.45,245,3,29.0,1,100,84,10,12,11,11,33,3.0,1.0,1.0,7.0,5.0,24,6,0,4,3,25,0,16,12,16.4677,16.5916,16.6511,16.1537,17.0406,3,84,9,akşam,4,a,k,ak,yaz,1,0,0,1,0,0,0,0,0,0,0
163,ART WOMEN(8) DB  ,2015-07-31,Bursa,S.İPEK,S.İPEK,True,1,76.34,12.9,1290,13,2.0,11,23,0,7,8,8,9,23,13.0,12.0,11.0,9.0,2.0,28,4,2,2,3,14,7,7,10,15.7192,15.2075,16.0128,15.8517,16.4541,13,0,9,akşam,4,a,k,ak,yaz,0,0,1,0,0,0,0,0,0,0,0
164,ARAP BABA(9) KG  DB  SK  ,2015-05-08,Elazığ,D.ÇELİK,M.AVŞAR,False,0,88.17,10.75,1075,14,2.0,11,16,0,9,9,7,8,25,14.0,14.0,11.0,6.0,9.0,27,5,2,2,2,18,7,7,7,0.0,13.6101,13.2441,14.7366,0.0,14,0,6,öğle,5,d,a,da,yaz,1,0,1,1,0,0,0,0,0,0,0
165,MÜŞFİK HOCA(13) KG  K  DB  ,2015-05-08,Elazığ,UFUK AKAY,UFUK AKAY,True,1,80.83,5.25,525,6,6.0,4,75,61,7,8,10,9,25,6.0,6.0,8.0,1.0,10.0,46,8,6,5,4,17,13,10,8,14.845999999999998,13.8172,14.5075,15.4534,15.3437,6,61,6,öğle,6,d,a,da,yaz,1,1,1,0,0,0,0,0,0,0,0
166,FENERLİKAYA(13) SK    ,2015-07-31,İstanbul,K.SARI,K.SARI,True,1,95.48,38.9,3890,8,2.0,11,37,58,0,3,3,9,6,0.0,8.0,10.0,9.0,5.0,28,1,3,3,3,3,10,10,10,14.4223,14.6628,14.3489,14.2819,14.3385,8,58,9,akşam,4,a,k,ak,yaz,0,0,0,1,0,0,0,0,0,0,0
167,ÇIĞKOPARAN(5) KG  K  DB  ,2015-06-08,Ankara,G.KOCAKAYA,G.KOCAKAYA,True,1,101.2,25.9,2590,8,5.0,6,61,46,16,15,13,12,44,8.0,5.0,2.0,1.0,7.0,9,1,3,1,0,11,33,11,0,13.834000000000001,14.2619,14.7929,14.7851,14.8552,8,46,6,öğle,3,k,e,ke,yaz,1,1,1,0,0,0,0,0,0,0,0
168,ESPANYOL(5) SKG  SK  ,2015-05-08,Elazığ,UFUK AKAY,UFUK AKAY,True,1,136.71,2.3,229,4,11.0,4,75,76,7,8,10,9,25,4.0,10.0,1.0,6.0,14.0,15,2,1,0,3,13,6,0,20,13.898,0.0,14.9365,14.1743,13.8869,4,76,5,öğle,3,d,e,de,yaz,0,0,0,1,1,0,0,0,0,0,0
169,HIRYUU(8) SKG  SK  ,2015-07-31,Bursa,M.ÇİÇEK,M.ÇİÇEK,True,1,105.32,2.65,265,6,16.0,3,84,58,14,14,14,12,42,6.0,3.0,1.0,1.0,6.0,12,4,2,1,2,33,16,8,16,16.1413,16.6528,16.0278,16.7289,16.0624,6,58,7,öğle,3,a,d,ad,yaz,0,0,0,1,1,0,0,0,0,0,0
170,KLASCAN(5) KG  DB  SK  ,2015-01-08,Ankara,HAKAN YILDIZ,HAKAN YILDIZ,True,1,111.41,20.1,2010,7,1.0,6,58,50,8,9,10,10,27,7.0,6.0,3.0,2.0,4.0,15,2,1,3,3,13,6,20,20,13.4638,14.5577,14.1743,14.2535,13.8108,7,50,8,öğle,4,a,a,aa,yaz,1,0,1,1,0,0,0,0,0,0,0
171,MELİSİNKIZI(10) KG  K  GKR  ,2015-06-08,Kocaeli,B.AVERBAK,B.AVERBAK,True,1,104.37,9.8,980,10,4.0,9,35,30,7,7,9,10,23,10.0,5.0,2.0,4.0,6.0,7,0,1,0,1,0,14,0,14,13.4138,14.661,14.8216,14.1197,14.2264,10,30,7,akşam,4,k,k,kk,yaz,1,1,0,0,0,1,0,0,0,0,0
172,EDASEL(14) KG  K  ,2015-06-08,Kocaeli,H.ŞİMŞEK,H.ŞİMŞEK,True,1,100.25,25.85,2585,8,1.0,12,14,46,7,7,8,9,22,8.0,7.0,9.0,11.0,8.0,25,0,0,3,3,0,0,12,12,13.9651,13.6624,13.6078,13.3677,13.8991,8,46,7,akşam,4,k,k,kk,yaz,1,1,0,0,0,0,0,0,0,0,0
173,LEPANTO(8),2015-01-08,Kocaeli,N.AVCİ,N.AVCİ,True,1,75.18,14.6,1460,9,3.0,9,27,27,9,10,11,11,30,9.0,1.0,3.0,2.0,2.0,9,3,2,1,0,33,22,11,0,15.9617,15.9681,14.9996,15.6185,15.639000000000001,9,27,6,akşam,3,d,e,de,yaz,0,0,0,0,0,0,0,0,0,0,0
174,UÇANOĞLU(6) KG  ,2015-07-31,İstanbul,H.KARATAŞ,H.KARATAŞ,True,1,129.83,3.05,305,3,11.0,2,93,88,27,19,15,11,61,3.0,3.0,1.0,5.0,4.0,33,12,10,3,2,36,30,9,6,14.6345,14.9575,15.007,14.7102,13.964,3,88,6,akşam,6,a,a,aa,yaz,1,0,0,0,0,0,0,0,0,0,0
175,STARLESS(6) DB  SK  ,2015-06-08,Kocaeli,A.ASLAN,A.ASLAN,True,1,77.98,9.75,975,10,7.0,4,71,30,7,8,8,9,23,10.0,1.0,9.0,1.0,13.0,37,3,5,6,2,8,13,16,5,15.3886,15.8181,15.6454,15.7818,15.1188,10,30,6,akşam,5,d,k,dk,yaz,0,0,1,1,0,0,0,0,0,0,0
176,POLEN(4) KG  K    ,2015-07-31,Bursa,ONUR YILDIZ,ONUR YILDIZ,True,1,110.62,7.15,715,10,5.0,6,61,25,5,7,5,9,17,10.0,14.0,1.0,0.0,0.0,3,1,0,0,0,33,0,0,0,10.8479,13.0548,14.8408,0.0,0.0,10,25,5,öğle,3,a,d,ad,yaz,1,1,0,0,0,0,0,0,0,0,0
177,KARAPEKMEZ(6) KG  SK  ,2015-05-08,Elazığ,D.ÇELİK,D.ÇELİK,True,1,152.76,15.7,1570,7,1.0,9,33,53,9,9,7,8,25,7.0,10.0,6.0,4.0,9.0,7,0,0,0,1,0,0,0,14,11.7832,13.4409,14.6909,14.5968,13.1369,7,53,3,öğle,4,k,a,ka,yaz,1,0,0,1,0,0,0,0,0,0,0
178,GRAND EXPECTATIONS(6),2015-07-30,Ankara,A.ÇELİK,A.ÇELİK,True,1,144.22,2.0,200,4,30.0,1,92,75,17,15,14,12,46,4.0,1.0,3.0,3.0,5.0,61,12,13,3,4,19,21,4,6,15.2545,15.4943,15.3734,15.3953,15.2694,4,75,7,öğle,7,d,k,dk,yaz,0,0,0,0,0,0,0,0,0,0,0
179,LAST EXIT(4) DB  ,2015-07-30,Ankara,Ö.YILDIRIM,Ö.YILDIRIM,True,1,143.78,3.2,320,3,18.0,3,76,83,15,13,12,11,40,3.0,3.0,4.0,5.0,3.0,28,7,2,5,4,25,7,17,14,15.3012,15.3767,15.3307,15.0184,15.3363,3,83,7,öğle,5,d,a,da,yaz,0,0,1,0,0,0,0,0,0,0,0
